"","id","smile"
"65","DB00182","CC(N)CC1=CC=CC=C1"
"66","DB00184","CN1CCC[C@H]1C1=CN=CC=C1"
"67","DB00185","CC1O[C@@]2(CS1)CN1CCC2CC1"
"68","DB00186","OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2"
"69","DB00187","COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1"
"70","DB00189","CCC(O)(\C=C\Cl)C#C"
"71","DB00190","C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O"
"72","DB00191","CC(C)(N)CC1=CC=CC=C1"
"73","DB00192","CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12"
"74","DB00193","COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C"
"75","DB00194","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O"
"76","DB00195","CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1"
"77","DB00196","OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1"
"78","DB00197","CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O"
"79","DB00198","CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1"
"80","DB00201","CN1C=NC2=C1C(=O)N(C)C(=O)N2C"
"81","DB00202","C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C"
"82","DB00203","CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1"
"83","DB00204","CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1"
"84","DB00205","CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1"
"85","DB00206","[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2"
"86","DB00208","ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2"
"87","DB00210","COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2"
"88","DB00211","COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1"
"89","DB00213","COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1"
"90","DB00214","CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1"
"91","DB00215","CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1"
"92","DB00216","CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2"
"93","DB00217","CN\C(NCC1=CC=CC=C1)=N/C"
"94","DB00218","[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O"
"95","DB00219","CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1"
"96","DB00220","[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C"
"97","DB00221","CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1"
